,frame_id,angle,public,torque,speed,File,angle_range,labels
2742,1.48e+18,0.188495561,0,,,1479425578306537679.jpg,"(0.104, 0.24]",8
4712,1.48e+18,0.094247781,0,,,1479425676823914223.jpg,"(0.0492, 0.104]",7
1794,1.48e+18,-0.089011788,1,,,1479425530898390653.jpg,"(-0.0977, -0.0419]",2
3853,1.48e+18,0.054105207,1,,,1479425633866347990.jpg,"(0.0492, 0.104]",7
4194,1.48e+18,0.050794684,0,,,1479425650919214385.jpg,"(0.0492, 0.104]",7
2337,1.48e+18,-0.029670598,0,,,1479425558053089789.jpg,"(-0.0419, -0.0105]",3
2827,1.48e+18,0.122344834,1,,,1479425582557389859.jpg,"(0.104, 0.24]",8
2913,1.48e+18,0.013427179,1,,,1479425586858062901.jpg,"(0.00366, 0.0197]",5
714,1.48e+18,0.00945342,0,,,1479425476888787441.jpg,"(0.00366, 0.0197]",5
3050,1.48e+18,0.137025726,1,,,1479425593709357376.jpg,"(0.104, 0.24]",8
157,1.48e+18,-0.022689281,1,,,1479425449034016614.jpg,"(-0.0419, -0.0105]",3
2965,1.48e+18,0.095993109,1,,,1479425589458616491.jpg,"(0.0492, 0.104]",7
4698,1.48e+18,0.085521132,0,,,1479425676123592257.jpg,"(0.0492, 0.104]",7
3836,1.48e+18,0.061086524,0,,,1479425633016193578.jpg,"(0.0492, 0.104]",7
5420,1.48e+18,-0.0544781,0,,,1479425712229996158.jpg,"(-0.0977, -0.0419]",2
1953,1.48e+18,-0.270871402,1,,,1479425538849688773.jpg,"(-0.879, -0.248]",0
5204,1.48e+18,0.020943951,1,,,1479425701428025226.jpg,"(0.0197, 0.0492]",6
27,1.48e+18,-0.029670598,1,,,1479425442532771570.jpg,"(-0.0419, -0.0105]",3
1865,1.48e+18,-0.781907499,0,,,1479425534448993255.jpg,"(-0.879, -0.248]",0
1138,1.48e+18,0.151812121,1,,,1479425498092515609.jpg,"(0.104, 0.24]",8
4097,1.48e+18,-0.154825784,1,,,1479425646068437076.jpg,"(-0.248, -0.0977]",1
389,1.48e+18,0.24085544,1,,,1479425460636021329.jpg,"(0.24, 0.95]",9
5607,1.48e+18,-0.090028893,1,,,1479425721581693323.jpg,"(-0.0977, -0.0419]",2
1818,1.48e+18,-0.356047153,1,,,1479425532098493605.jpg,"(-0.879, -0.248]",0
5054,1.48e+18,-0.020943951,0,,,1479425693926890875.jpg,"(-0.0419, -0.0105]",3
761,1.48e+18,-0.354827485,0,,,1479425479239561420.jpg,"(-0.879, -0.248]",0
2515,1.48e+18,0.027925268,1,,,1479425566954543966.jpg,"(0.0197, 0.0492]",6
4106,1.48e+18,-0.079841832,1,,,1479425646518514679.jpg,"(-0.0977, -0.0419]",2
1172,1.48e+18,0.431620921,0,,,1479425499792881281.jpg,"(0.24, 0.95]",9
2956,1.48e+18,0.049052962,0,,,1479425589008487149.jpg,"(0.0197, 0.0492]",6
3273,1.48e+18,0.450664303,0,,,1479425604861134504.jpg,"(0.24, 0.95]",9
4604,1.48e+18,0.015707964,0,,,1479425671422777105.jpg,"(0.00366, 0.0197]",5
804,1.48e+18,-0.037450801,1,,,1479425481389564116.jpg,"(-0.0419, -0.0105]",3
5440,1.48e+18,-0.069311767,1,,,1479425713230207483.jpg,"(-0.0977, -0.0419]",2
1147,1.48e+18,0.305795286,1,,,1479425498542609577.jpg,"(0.24, 0.95]",9
4901,1.48e+18,0.007413375,0,,,1479425686275397885.jpg,"(0.00366, 0.0197]",5
2675,1.48e+18,-0.32694645,0,,,1479425574955988235.jpg,"(-0.879, -0.248]",0
1798,1.48e+18,-0.110741251,0,,,1479425531098260424.jpg,"(-0.248, -0.0977]",1
778,1.48e+18,-0.06981317,1,,,1479425480089353722.jpg,"(-0.0977, -0.0419]",2
561,1.48e+18,0.382791817,1,,,1479425469237439190.jpg,"(0.24, 0.95]",9
2424,1.48e+18,0.017453292,0,,,1479425562403805823.jpg,"(0.00366, 0.0197]",5
4266,1.48e+18,0.738851711,1,,,1479425654520220380.jpg,"(0.24, 0.95]",9
2533,1.48e+18,-0.016066753,1,,,1479425567854732458.jpg,"(-0.0419, -0.0105]",3
3775,1.48e+18,0.054105207,1,,,1479425629965707121.jpg,"(0.0492, 0.104]",7
3231,1.48e+18,0.055456595,0,,,1479425602760862329.jpg,"(0.0492, 0.104]",7
3866,1.48e+18,0.0,1,,,1479425634516434347.jpg,"(-0.0105, 0.00366]",4
3002,1.48e+18,0.075049154,1,,,1479425591308848993.jpg,"(0.0492, 0.104]",7
1782,1.48e+18,-0.074095915,0,,,1479425530298175553.jpg,"(-0.0977, -0.0419]",2
1133,1.48e+18,0.116937056,1,,,1479425497842515680.jpg,"(0.104, 0.24]",8
5035,1.48e+18,0.007424671,0,,,1479425692976686278.jpg,"(0.00366, 0.0197]",5
1194,1.48e+18,0.197222203,1,,,1479425500892963231.jpg,"(0.104, 0.24]",8
2049,1.48e+18,0.21961893,0,,,1479425543650456326.jpg,"(0.104, 0.24]",8
5041,1.48e+18,-0.020943951,1,,,1479425693276594920.jpg,"(-0.0419, -0.0105]",3
4491,1.48e+18,0.005235988,0,,,1479425665771821503.jpg,"(0.00366, 0.0197]",5
1040,1.48e+18,0.007566965,1,,,1479425493191724230.jpg,"(0.00366, 0.0197]",5
4048,1.48e+18,-0.476516464,1,,,1479425643617989169.jpg,"(-0.879, -0.248]",0
2979,1.48e+18,0.110858339,0,,,1479425590158627267.jpg,"(0.104, 0.24]",8
4310,1.48e+18,0.024434609,1,,,1479425656720279301.jpg,"(0.0197, 0.0492]",6
4327,1.48e+18,0.0,1,,,1479425657570357485.jpg,"(-0.0105, 0.00366]",4
2818,1.48e+18,0.096639715,0,,,1479425582107264851.jpg,"(0.0492, 0.104]",7
647,1.48e+18,-0.010471975,1,,,1479425473538246977.jpg,"(-0.0419, -0.0105]",3
3699,1.48e+18,0.08726646,0,,,1479425626164877992.jpg,"(0.0492, 0.104]",7
1218,1.48e+18,0.089699286,1,,,1479425502093224665.jpg,"(0.0492, 0.104]",7
3310,1.48e+18,0.551524043,0,,,1479425606711522599.jpg,"(0.24, 0.95]",9
5415,1.48e+18,-0.051140923,0,,,1479425711979854828.jpg,"(-0.0977, -0.0419]",2
1457,1.48e+18,0.041887902,0,,,1479425514045254862.jpg,"(0.0197, 0.0492]",6
1673,1.48e+18,0.004609338,1,,,1479425524847099141.jpg,"(0.00366, 0.0197]",5
3832,1.48e+18,0.074037871,0,,,1479425632816054878.jpg,"(0.0492, 0.104]",7
3438,1.48e+18,-0.136407819,0,,,1479425613112610454.jpg,"(-0.248, -0.0977]",1
746,1.48e+18,-0.399680406,1,,,1479425478489071115.jpg,"(-0.879, -0.248]",0
3225,1.48e+18,-0.059040352,0,,,1479425602460747406.jpg,"(-0.0977, -0.0419]",2
3763,1.48e+18,0.05489365,0,,,1479425629365488864.jpg,"(0.0492, 0.104]",7
1622,1.48e+18,-0.053861375,0,,,1479425522296728054.jpg,"(-0.0977, -0.0419]",2
3629,1.48e+18,0.219553061,0,,,1479425622664218814.jpg,"(0.104, 0.24]",8
4441,1.48e+18,-0.01072365,1,,,1479425663271410126.jpg,"(-0.0419, -0.0105]",3
2496,1.48e+18,0.019198623,1,,,1479425566004386982.jpg,"(0.00366, 0.0197]",5
1769,1.48e+18,0.091998502,1,,,1479425529648051137.jpg,"(0.0492, 0.104]",7
1530,1.48e+18,0.0,0,,,1479425517695927035.jpg,"(-0.0105, 0.00366]",4
3415,1.48e+18,-0.331844685,1,,,1479425611962407057.jpg,"(-0.879, -0.248]",0
2290,1.48e+18,0.020502503,1,,,1479425555702614221.jpg,"(0.0197, 0.0492]",6
4040,1.48e+18,-0.450294942,0,,,1479425643217996989.jpg,"(-0.879, -0.248]",0
2050,1.48e+18,0.196888281,0,,,1479425543700514429.jpg,"(0.104, 0.24]",8
2625,1.48e+18,-0.239110112,1,,,1479425572455514787.jpg,"(-0.248, -0.0977]",1
3177,1.48e+18,-0.433780076,1,,,1479425600060348552.jpg,"(-0.879, -0.248]",0
4239,1.48e+18,0.89360857,1,,,1479425653169642859.jpg,"(0.24, 0.95]",9
913,1.48e+18,0.135507799,1,,,1479425486840509573.jpg,"(0.104, 0.24]",8
1440,1.48e+18,0.045104407,0,,,1479425513195230792.jpg,"(0.0197, 0.0492]",6
2680,1.48e+18,-0.223948371,1,,,1479425575206069235.jpg,"(-0.248, -0.0977]",1
2769,1.48e+18,0.251875515,0,,,1479425579656861384.jpg,"(0.24, 0.95]",9
4095,1.48e+18,-0.155334309,0,,,1479425645968377321.jpg,"(-0.248, -0.0977]",1
1252,1.48e+18,-0.254818082,1,,,1479425503793576126.jpg,"(-0.879, -0.248]",0
661,1.48e+18,0.006981317,1,,,1479425474238370303.jpg,"(0.00366, 0.0197]",5
2346,1.48e+18,-0.024434609,0,,,1479425558503066086.jpg,"(-0.0419, -0.0105]",3
2481,1.48e+18,0.062831856,1,,,1479425565254241514.jpg,"(0.0492, 0.104]",7
2313,1.48e+18,0.031356211,0,,,1479425556852784704.jpg,"(0.0197, 0.0492]",6
2616,1.48e+18,-0.153833984,1,,,1479425572005474401.jpg,"(-0.248, -0.0977]",1
2288,1.48e+18,-0.009827246,0,,,1479425555602571906.jpg,"(-0.0105, 0.00366]",4
5007,1.48e+18,0.001745329,0,,,1479425691576342026.jpg,"(-0.0105, 0.00366]",4
1915,1.48e+18,-0.141371667,0,,,1479425536949350817.jpg,"(-0.248, -0.0977]",1
1870,1.48e+18,-0.754613324,0,,,1479425534698918691.jpg,"(-0.879, -0.248]",0
4000,1.48e+18,-0.019738437,1,,,1479425641217519873.jpg,"(-0.0419, -0.0105]",3
5194,1.48e+18,0.001745329,1,,,1479425700927923623.jpg,"(-0.0105, 0.00366]",4
3983,1.48e+18,0.006491186,0,,,1479425640367408342.jpg,"(0.00366, 0.0197]",5
1427,1.48e+18,-0.00151691,1,,,1479425512544946358.jpg,"(-0.0105, 0.00366]",4
1438,1.48e+18,0.038134557,0,,,1479425513095228651.jpg,"(0.0197, 0.0492]",6
3022,1.48e+18,0.073303826,0,,,1479425592309004478.jpg,"(0.0492, 0.104]",7
5112,1.48e+18,0.019198623,0,,,1479425696827273367.jpg,"(0.00366, 0.0197]",5
3279,1.48e+18,0.544130572,0,,,1479425605161233270.jpg,"(0.24, 0.95]",9
4425,1.48e+18,-0.134390354,0,,,1479425662471219969.jpg,"(-0.248, -0.0977]",1
2270,1.48e+18,0.06981317,0,,,1479425554702417958.jpg,"(0.0492, 0.104]",7
1165,1.48e+18,0.480893488,0,,,1479425499442845124.jpg,"(0.24, 0.95]",9
45,1.48e+18,-0.038397245,0,,,1479425443432903742.jpg,"(-0.0419, -0.0105]",3
4994,1.48e+18,0.001745329,1,,,1479425690926291330.jpg,"(-0.0105, 0.00366]",4
1946,1.48e+18,-0.308923274,0,,,1479425538499630355.jpg,"(-0.879, -0.248]",0
3160,1.48e+18,-0.204887995,0,,,1479425599210546937.jpg,"(-0.248, -0.0977]",1
3967,1.48e+18,0.019198623,1,,,1479425639567319305.jpg,"(0.00366, 0.0197]",5
4038,1.48e+18,-0.448549628,0,,,1479425643117894021.jpg,"(-0.879, -0.248]",0
2283,1.48e+18,0.066062387,1,,,1479425555352563374.jpg,"(0.0492, 0.104]",7
2264,1.48e+18,0.070298998,0,,,1479425554402369521.jpg,"(0.0492, 0.104]",7
3909,1.48e+18,-0.094248204,0,,,1479425636666737613.jpg,"(-0.0977, -0.0419]",2
4979,1.48e+18,-0.036284391,0,,,1479425690176081928.jpg,"(-0.0419, -0.0105]",3
5224,1.48e+18,0.019198623,1,,,1479425702428257830.jpg,"(0.00366, 0.0197]",5
5390,1.48e+18,-0.029670598,0,,,1479425710729699932.jpg,"(-0.0419, -0.0105]",3
3849,1.48e+18,0.064577185,0,,,1479425633666230346.jpg,"(0.0492, 0.104]",7
5221,1.48e+18,0.019198623,1,,,1479425702278236503.jpg,"(0.00366, 0.0197]",5
478,1.48e+18,0.185205409,1,,,1479425465086825944.jpg,"(0.104, 0.24]",8
2848,1.48e+18,0.116937056,0,,,1479425583607479391.jpg,"(0.104, 0.24]",8
1934,1.48e+18,-0.230209602,1,,,1479425537899571540.jpg,"(-0.248, -0.0977]",1
3702,1.48e+18,0.081543207,0,,,1479425626314891614.jpg,"(0.0492, 0.104]",7
3237,1.48e+18,0.205577726,1,,,1479425603060854422.jpg,"(0.104, 0.24]",8
2590,1.48e+18,-0.035796459,0,,,1479425570705239833.jpg,"(-0.0419, -0.0105]",3
4433,1.48e+18,-0.111763005,1,,,1479425662871303307.jpg,"(-0.248, -0.0977]",1
847,1.48e+18,0.088751435,1,,,1479425483539966508.jpg,"(0.0492, 0.104]",7
5269,1.48e+18,-0.007473402,1,,,1479425704678744169.jpg,"(-0.0105, 0.00366]",4
5207,1.48e+18,0.022532541,1,,,1479425701578057071.jpg,"(0.0197, 0.0492]",6
3569,1.48e+18,-0.523369918,0,,,1479425619663774701.jpg,"(-0.879, -0.248]",0
399,1.48e+18,0.24085544,1,,,1479425461136092742.jpg,"(0.24, 0.95]",9
5115,1.48e+18,0.017453292,0,,,1479425696977348675.jpg,"(0.00366, 0.0197]",5
4986,1.48e+18,-0.003761421,0,,,1479425690526127978.jpg,"(-0.0105, 0.00366]",4
1032,1.48e+18,-0.002832012,0,,,1479425492791540329.jpg,"(-0.0105, 0.00366]",4
436,1.48e+18,0.052359879,0,,,1479425462986389593.jpg,"(0.0492, 0.104]",7
4263,1.48e+18,0.804077144,1,,,1479425654369795496.jpg,"(0.24, 0.95]",9
4128,1.48e+18,-0.003490658,0,,,1479425647618719411.jpg,"(-0.0105, 0.00366]",4
1269,1.48e+18,-0.347450456,0,,,1479425504643676442.jpg,"(-0.879, -0.248]",0
3444,1.48e+18,-0.03575935,0,,,1479425613412701080.jpg,"(-0.0419, -0.0105]",3
5378,1.48e+18,0.001745329,1,,,1479425710129643407.jpg,"(-0.0105, 0.00366]",4
4524,1.48e+18,0.019198623,1,,,1479425667422113955.jpg,"(0.00366, 0.0197]",5
2793,1.48e+18,0.248565156,0,,,1479425580857106838.jpg,"(0.24, 0.95]",9
2885,1.48e+18,0.013480582,0,,,1479425585457873808.jpg,"(0.00366, 0.0197]",5
4607,1.48e+18,0.013962634,1,,,1479425671572976241.jpg,"(0.00366, 0.0197]",5
1329,1.48e+18,-0.230464216,0,,,1479425507644241617.jpg,"(-0.248, -0.0977]",1
4296,1.48e+18,0.171042264,0,,,1479425656020674613.jpg,"(0.104, 0.24]",8
2284,1.48e+18,0.060582979,1,,,1479425555402513698.jpg,"(0.0492, 0.104]",7
1637,1.48e+18,-0.027600703,0,,,1479425523046868163.jpg,"(-0.0419, -0.0105]",3
1128,1.48e+18,0.064684295,1,,,1479425497592469911.jpg,"(0.0492, 0.104]",7
5231,1.48e+18,0.015716778,1,,,1479425702778188524.jpg,"(0.00366, 0.0197]",5
1607,1.48e+18,-0.009449287,1,,,1479425521546620413.jpg,"(-0.0105, 0.00366]",4
1347,1.48e+18,-0.210646038,0,,,1479425508544419820.jpg,"(-0.248, -0.0977]",1
924,1.48e+18,0.32489423,0,,,1479425487390621670.jpg,"(0.24, 0.95]",9
2778,1.48e+18,0.294960648,0,,,1479425580107048669.jpg,"(0.24, 0.95]",9
1594,1.48e+18,0.055494767,0,,,1479425520896526083.jpg,"(0.0492, 0.104]",7
767,1.48e+18,-0.237155825,1,,,1479425479539223827.jpg,"(-0.248, -0.0977]",1
4152,1.48e+18,-0.046393277,1,,,1479425648818898999.jpg,"(-0.0977, -0.0419]",2
5103,1.48e+18,0.02617994,0,,,1479425696377213331.jpg,"(0.0197, 0.0492]",6
1008,1.48e+18,0.04363323,0,,,1479425491591373670.jpg,"(0.0197, 0.0492]",6
230,1.48e+18,0.044674762,0,,,1479425452684562980.jpg,"(0.0197, 0.0492]",6
3482,1.48e+18,0.304293431,1,,,1479425615313047162.jpg,"(0.24, 0.95]",9
3472,1.48e+18,0.214675501,0,,,1479425614812856727.jpg,"(0.104, 0.24]",8
2518,1.48e+18,0.027925268,1,,,1479425567104574332.jpg,"(0.0197, 0.0492]",6
2724,1.48e+18,0.116937056,1,,,1479425577406411560.jpg,"(0.104, 0.24]",8
5144,1.48e+18,-0.036651913,0,,,1479425698427512092.jpg,"(-0.0419, -0.0105]",3
5121,1.48e+18,-0.005235988,0,,,1479425697277437480.jpg,"(-0.0105, 0.00366]",4
3907,1.48e+18,-0.094247781,1,,,1479425636566780659.jpg,"(-0.0977, -0.0419]",2
491,1.48e+18,-0.001370746,1,,,1479425465736850570.jpg,"(-0.0105, 0.00366]",4
2609,1.48e+18,-0.085663404,0,,,1479425571655399351.jpg,"(-0.0977, -0.0419]",2
1461,1.48e+18,0.013066488,1,,,1479425514245311537.jpg,"(0.00366, 0.0197]",5
4103,1.48e+18,-0.105534195,1,,,1479425646368440660.jpg,"(-0.248, -0.0977]",1
1027,1.48e+18,-0.010471975,1,,,1479425492541634378.jpg,"(-0.0419, -0.0105]",3
5135,1.48e+18,0.001745329,0,,,1479425697977493908.jpg,"(-0.0105, 0.00366]",4
5571,1.48e+18,-0.125663713,0,,,1479425719781262693.jpg,"(-0.248, -0.0977]",1
2556,1.48e+18,-0.00215377,1,,,1479425569004935026.jpg,"(-0.0105, 0.00366]",4
278,1.48e+18,-0.033566916,1,,,1479425455084988816.jpg,"(-0.0419, -0.0105]",3
4626,1.48e+18,0.008726646,1,,,1479425672523003269.jpg,"(0.00366, 0.0197]",5
568,1.48e+18,0.438868555,1,,,1479425469587525741.jpg,"(0.24, 0.95]",9
3154,1.48e+18,-0.176821882,1,,,1479425598910150961.jpg,"(-0.248, -0.0977]",1
5610,1.48e+18,-0.08726646,0,,,1479425721731673391.jpg,"(-0.0977, -0.0419]",2
388,1.48e+18,0.24085544,1,,,1479425460585919323.jpg,"(0.24, 0.95]",9
