,image,angle
21113,21114.jpg,0.5
923,924.jpg,192.0
11186,11187.jpg,1.31
12798,12799.jpg,5.75
34423,34424.jpg,92.87
32950,32951.jpg,9.68
24924,24925.jpg,-22.39
2433,2434.jpg,-0.61
36753,36754.jpg,17.95
23606,23607.jpg,-11.6
20769,20770.jpg,2.82
42729,42730.jpg,0.0
24005,24006.jpg,1.01
2735,2736.jpg,-5.95
7403,7404.jpg,-3.53
4924,4925.jpg,18.35
35187,35188.jpg,-3.33
7793,7794.jpg,15.83
4563,4564.jpg,18.35
23465,23466.jpg,0.0
33281,33282.jpg,0.0
33880,33881.jpg,8.57
15314,15315.jpg,-1.21
6805,6806.jpg,1.11
27951,27952.jpg,4.13
3095,3096.jpg,4.34
12661,12662.jpg,1.82
20153,20154.jpg,-12.0
1516,1517.jpg,-3.83
20751,20752.jpg,1.01
33944,33945.jpg,7.87
19194,19195.jpg,11.39
35560,35561.jpg,39.23
7891,7892.jpg,1.01
16720,16721.jpg,-6.55
13920,13921.jpg,-21.68
20893,20894.jpg,11.29
29483,29484.jpg,-18.05
39609,39610.jpg,0.0
23406,23407.jpg,1.61
32271,32272.jpg,26.92
43691,43692.jpg,26.22
25271,25272.jpg,2.12
23244,23245.jpg,11.7
4552,4553.jpg,23.8
11098,11099.jpg,1.21
1399,1400.jpg,0.4
32252,32253.jpg,0.0
41105,41106.jpg,2.12
22885,22886.jpg,6.25
43637,43638.jpg,22.29
20901,20902.jpg,11.6
39905,39906.jpg,0.0
41194,41195.jpg,1.92
6228,6229.jpg,3.43
26445,26446.jpg,14.12
26467,26468.jpg,9.68
12087,12088.jpg,1.41
31779,31780.jpg,-24.2
6868,6869.jpg,0.0
20077,20078.jpg,-16.34
23017,23018.jpg,0.81
31979,31980.jpg,7.76
32365,32366.jpg,2.52
10874,10875.jpg,-5.45
36498,36499.jpg,51.33
24834,24835.jpg,0.0
16308,16309.jpg,5.45
487,488.jpg,-101.45
16572,16573.jpg,-10.08
21269,21270.jpg,-2.42
9465,9466.jpg,-1.21
38074,38075.jpg,-0.2
29540,29541.jpg,-19.46
941,942.jpg,209.55
20240,20241.jpg,-9.58
13111,13112.jpg,7.66
14665,14666.jpg,-108.1
20806,20807.jpg,13.31
35569,35570.jpg,19.06
13967,13968.jpg,-17.14
32537,32538.jpg,-27.33
29853,29854.jpg,15.33
43651,43652.jpg,22.29
33380,33381.jpg,65.95
26197,26198.jpg,88.84
39137,39138.jpg,-83.8
22997,22998.jpg,1.61
36131,36132.jpg,-6.86
24544,24545.jpg,-13.61
26973,26974.jpg,3.63
43552,43553.jpg,2.92
5200,5201.jpg,0.71
21654,21655.jpg,39.83
36794,36795.jpg,13.51
29808,29809.jpg,0.91
24995,24996.jpg,-26.02
39574,39575.jpg,7.66
22610,22611.jpg,-5.04
7081,7082.jpg,-4.13
13204,13205.jpg,0.0
45095,45096.jpg,-2.52
2007,2008.jpg,0.3
4200,4201.jpg,2.72
13070,13071.jpg,7.36
20279,20280.jpg,-10.08
23630,23631.jpg,-10.79
34270,34271.jpg,-55.97
41985,41986.jpg,0.0
27306,27307.jpg,14.52
13339,13340.jpg,3.13
28121,28122.jpg,31.06
44436,44437.jpg,9.78
28622,28623.jpg,-19.56
26359,26360.jpg,13.41
5586,5587.jpg,-0.2
8053,8054.jpg,1.31
36408,36409.jpg,47.6
35042,35043.jpg,75.03
8125,8126.jpg,-1.01
838,839.jpg,1.61
39276,39277.jpg,13.31
12312,12313.jpg,30.45
28476,28477.jpg,-19.66
19309,19310.jpg,13.31
10485,10486.jpg,-0.5
146,147.jpg,-1.01
33920,33921.jpg,13.61
30743,30744.jpg,12.71
40669,40670.jpg,3.83
23791,23792.jpg,1.01
37244,37245.jpg,-34.08
16754,16755.jpg,2.72
24963,24964.jpg,-24.2
39885,39886.jpg,4.74
24983,24984.jpg,-24.3
32804,32805.jpg,-4.34
19849,19850.jpg,0.0
22301,22302.jpg,2.92
44273,44274.jpg,10.08
44928,44929.jpg,13.41
39738,39739.jpg,1.82
23229,23230.jpg,12.4
38037,38038.jpg,1.31
17586,17587.jpg,2.12
41314,41315.jpg,-0.2
44603,44604.jpg,9.88
44480,44481.jpg,9.78
32937,32938.jpg,12.0
15563,15564.jpg,-15.43
41920,41921.jpg,-0.1
45191,45192.jpg,12.3
42089,42090.jpg,0.61
42519,42520.jpg,0.81
24826,24827.jpg,-0.2
20976,20977.jpg,11.39
8169,8170.jpg,0.5
4566,4567.jpg,18.35
21343,21344.jpg,1.82
25084,25085.jpg,-6.66
868,869.jpg,22.79
41375,41376.jpg,-0.5
15146,15147.jpg,11.5
35215,35216.jpg,-19.97
6081,6082.jpg,-15.13
20700,20701.jpg,-3.13
26516,26517.jpg,0.0
24749,24750.jpg,-2.32
24282,24283.jpg,13.51
1014,1015.jpg,77.65
12100,12101.jpg,0.61
22477,22478.jpg,-8.27
38065,38066.jpg,1.71
26305,26306.jpg,14.12
30934,30935.jpg,-13.01
32142,32143.jpg,15.53
36097,36098.jpg,-3.43
11770,11771.jpg,-15.83
2762,2763.jpg,-6.15
37325,37326.jpg,7.66
37703,37704.jpg,-0.81
6438,6439.jpg,0.0
35891,35892.jpg,0.0
9140,9141.jpg,24.61
30646,30647.jpg,22.79
1224,1225.jpg,-4.94
7160,7161.jpg,-1.71
41156,41157.jpg,3.03
16424,16425.jpg,0.5
13610,13611.jpg,29.34
43688,43689.jpg,26.22
22397,22398.jpg,-4.34
23920,23921.jpg,15.53
24014,24015.jpg,0.5
27309,27310.jpg,15.53
38247,38248.jpg,-9.28
171,172.jpg,-2.02
37144,37145.jpg,-71.09
41863,41864.jpg,0.2
31824,31825.jpg,-40.54
18666,18667.jpg,8.77
107,108.jpg,3.43
27511,27512.jpg,22.39
30879,30880.jpg,-2.12
38658,38659.jpg,8.27
25262,25263.jpg,-0.5
45125,45126.jpg,-1.92
11734,11735.jpg,-14.72
23960,23961.jpg,14.52
11439,11440.jpg,1.21
11693,11694.jpg,-17.34
10410,10411.jpg,0.0
28974,28975.jpg,0.2
27070,27071.jpg,50.42
38310,38311.jpg,49.41
32197,32198.jpg,36.0
3082,3083.jpg,4.44
870,871.jpg,37.31
39191,39192.jpg,-3.93
29897,29898.jpg,0.4
10216,10217.jpg,0.0
32156,32157.jpg,15.23
37403,37404.jpg,16.24
44960,44961.jpg,11.29
21996,21997.jpg,-0.61
13457,13458.jpg,10.29
33947,33948.jpg,0.0
403,404.jpg,-3.13
2834,2835.jpg,-1.01
4503,4504.jpg,65.55
37943,37944.jpg,-16.94
40212,40213.jpg,-5.85
9490,9491.jpg,-11.6
23262,23263.jpg,9.68
42289,42290.jpg,-149.1
9422,9423.jpg,-2.72
6719,6720.jpg,1.51
7719,7720.jpg,15.53
9680,9681.jpg,-11.8
21964,21965.jpg,2.32
18878,18879.jpg,1.41
12078,12079.jpg,6.05
28581,28582.jpg,-20.77
19537,19538.jpg,15.43
28808,28809.jpg,2.52
21229,21230.jpg,-20.97
2686,2687.jpg,0.0
12009,12010.jpg,4.74
37738,37739.jpg,8.77
18481,18482.jpg,1.92
33235,33236.jpg,-39.03
19102,19103.jpg,-18.25
19140,19141.jpg,-16.34
37571,37572.jpg,-5.85
44132,44133.jpg,9.98
5708,5709.jpg,-15.83
30139,30140.jpg,-41.14
33530,33531.jpg,22.99
16953,16954.jpg,0.81
27192,27193.jpg,6.35
17994,17995.jpg,5.34
18140,18141.jpg,13.61
8755,8756.jpg,-0.1
32793,32794.jpg,-11.8
21927,21928.jpg,0.1
749,750.jpg,-10.69
37959,37960.jpg,-16.64
3965,3966.jpg,8.87
10505,10506.jpg,0.5
5720,5721.jpg,-14.92
6333,6334.jpg,24.2
4425,4426.jpg,163.87
20784,20785.jpg,8.57
9669,9670.jpg,-13.21
31281,31282.jpg,-10.59
19120,19121.jpg,-18.76
39004,39005.jpg,11.9
8603,8604.jpg,-10.08
19737,19738.jpg,6.66
16159,16160.jpg,13.11
23813,23814.jpg,0.2
32752,32753.jpg,-1.21
17599,17600.jpg,2.12
2117,2118.jpg,0.0
13854,13855.jpg,-2.52
34436,34437.jpg,100.03
8401,8402.jpg,-0.2
18,19.jpg,0.0
8539,8540.jpg,-3.63
16104,16105.jpg,4.13
14181,14182.jpg,-26.52
20791,20792.jpg,12.0
42561,42562.jpg,6.25
11272,11273.jpg,3.23
41931,41932.jpg,1.71
37168,37169.jpg,-73.61
14528,14529.jpg,-4.64
4883,4884.jpg,13.31
40568,40569.jpg,-1.11
28984,28985.jpg,-2.02
36914,36915.jpg,-9.08
26897,26898.jpg,-11.39
30297,30298.jpg,0.3
41570,41571.jpg,0.4
9357,9358.jpg,20.77
11455,11456.jpg,1.31
5005,5006.jpg,21.08
34674,34675.jpg,-44.87
29861,29862.jpg,16.03
8495,8496.jpg,2.82
23080,23081.jpg,0.61
21170,21171.jpg,-4.54
30606,30607.jpg,40.03
14047,14048.jpg,-22.18
30122,30123.jpg,-41.04
22448,22449.jpg,-6.15
32165,32166.jpg,16.54
14333,14334.jpg,0.0
24379,24380.jpg,11.29
18901,18902.jpg,1.01
30398,30399.jpg,13.71
7386,7387.jpg,-3.53
15962,15963.jpg,-10.18
37991,37992.jpg,4.03
25629,25630.jpg,0.0
12898,12899.jpg,5.75
31722,31723.jpg,-9.98
24348,24349.jpg,1.01
30258,30259.jpg,5.34
36077,36078.jpg,-5.04
10241,10242.jpg,0.0
28289,28290.jpg,39.53
1651,1652.jpg,-0.91
9348,9349.jpg,20.87
5877,5878.jpg,-17.55
20760,20761.jpg,0.91
44930,44931.jpg,13.41
20664,20665.jpg,1.41
12941,12942.jpg,9.48
24353,24354.jpg,1.31
17907,17908.jpg,4.03
42016,42017.jpg,-3.43
18277,18278.jpg,6.66
17824,17825.jpg,7.97
9151,9152.jpg,22.59
27879,27880.jpg,-13.41
22286,22287.jpg,2.12
31880,31881.jpg,-1.11
30594,30595.jpg,41.45
6593,6594.jpg,1.82
28175,28176.jpg,42.55
18600,18601.jpg,9.98
37441,37442.jpg,1.21
22830,22831.jpg,-2.12
35898,35899.jpg,-7.06
31359,31360.jpg,-0.1
7190,7191.jpg,-3.83
4187,4188.jpg,7.76
42919,42920.jpg,-7.56
43204,43205.jpg,3.93
443,444.jpg,1.92
26046,26047.jpg,3.43
21846,21847.jpg,22.59
19054,19055.jpg,-8.17
32201,32202.jpg,37.71
20646,20647.jpg,2.12
18839,18840.jpg,4.64
32511,32512.jpg,-27.13
17263,17264.jpg,1.82
21823,21824.jpg,4.03
43014,43015.jpg,-20.07
13955,13956.jpg,-17.65
35959,35960.jpg,-1.41
21132,21133.jpg,-2.32
26799,26800.jpg,-4.84
37843,37844.jpg,-10.08
43610,43611.jpg,25.71
38947,38948.jpg,7.76
14939,14940.jpg,18.45
2938,2939.jpg,-2.32
42666,42667.jpg,16.13
14336,14337.jpg,-16.44
42864,42865.jpg,3.13
36692,36693.jpg,9.48
28732,28733.jpg,-3.22
1576,1577.jpg,-1.21
4755,4756.jpg,1.82
28893,28894.jpg,1.82
32255,32256.jpg,41.75
24251,24252.jpg,-0.61
33615,33616.jpg,-43.46
21005,21006.jpg,19.66
880,881.jpg,98.32
31969,31970.jpg,6.45
23256,23257.jpg,9.38
26054,26055.jpg,6.05
39126,39127.jpg,-128.5
3716,3717.jpg,2.22
29288,29289.jpg,-14.62
3405,3406.jpg,2.42
30404,30405.jpg,17.14
11167,11168.jpg,2.22
9622,9623.jpg,-13.21
3890,3891.jpg,6.66
6255,6256.jpg,14.12
11278,11279.jpg,2.52
27113,27114.jpg,53.04
33282,33283.jpg,-11.5
45212,45213.jpg,12.4
28402,28403.jpg,1.82
42867,42868.jpg,3.43
34566,34567.jpg,-39.73
33871,33872.jpg,3.13
22616,22617.jpg,-6.66
21564,21565.jpg,-18.55
17056,17057.jpg,1.21
38610,38611.jpg,8.27
33445,33446.jpg,52.54
23937,23938.jpg,15.53
31063,31064.jpg,-73.92
28131,28132.jpg,32.77
6428,6429.jpg,17.14
7660,7661.jpg,-0.61
25603,25604.jpg,-2.92
2560,2561.jpg,-3.03
4585,4586.jpg,16.94
36587,36588.jpg,23.9
33275,33276.jpg,-19.26
43013,43014.jpg,-19.66
44072,44073.jpg,16.84
19222,19223.jpg,13.82
7194,7195.jpg,-4.74
19766,19767.jpg,-1.92
42855,42856.jpg,1.71
35577,35578.jpg,5.65
1626,1627.jpg,-0.1
33555,33556.jpg,1.51
1156,1157.jpg,5.24
14485,14486.jpg,-1.51
37237,37238.jpg,-42.55
42032,42033.jpg,-4.03
17451,17452.jpg,1.41
37552,37553.jpg,-3.63
42766,42767.jpg,22.79
40664,40665.jpg,2.52
22355,22356.jpg,-7.36
38403,38404.jpg,23.19
12536,12537.jpg,-1.82
11576,11577.jpg,0.91
4078,4079.jpg,17.34
22262,22263.jpg,0.61
10993,10994.jpg,-5.55
34328,34329.jpg,-15.43
7112,7113.jpg,-2.02
21566,21567.jpg,-19.76
40252,40253.jpg,5.24
30562,30563.jpg,60.2
13916,13917.jpg,-21.68
17958,17959.jpg,9.08
2953,2954.jpg,-1.61
24388,24389.jpg,16.34
32857,32858.jpg,1.11
39770,39771.jpg,-0.1
175,176.jpg,-1.92
26930,26931.jpg,-6.96
43378,43379.jpg,12.4
40173,40174.jpg,1.51
791,792.jpg,-2.72
23314,23315.jpg,14.72
17250,17251.jpg,0.1
26825,26826.jpg,-5.95
30057,30058.jpg,-34.79
28196,28197.jpg,46.39
15059,15060.jpg,16.54
1679,1680.jpg,2.32
9623,9624.jpg,-13.21
30863,30864.jpg,0.71
36314,36315.jpg,-12.4
200,201.jpg,2.52
13152,13153.jpg,0.71
18318,18319.jpg,0.61
16831,16832.jpg,1.01
8896,8897.jpg,0.4
34142,34143.jpg,16.24
22030,22031.jpg,1.01
17393,17394.jpg,2.62
8949,8950.jpg,1.31
6496,6497.jpg,-2.52
27472,27473.jpg,31.87
39135,39136.jpg,-88.74
32120,32121.jpg,19.56
30408,30409.jpg,22.08
24034,24035.jpg,0.0
19739,19740.jpg,6.35
20849,20850.jpg,12.3
42639,42640.jpg,17.04
3512,3513.jpg,0.5
40331,40332.jpg,13.61
22144,22145.jpg,-2.72
33818,33819.jpg,-1.31
3028,3029.jpg,0.0
17776,17777.jpg,2.12
30129,30130.jpg,-41.24
9963,9964.jpg,10.39
36053,36054.jpg,-5.24
20861,20862.jpg,11.39
44474,44475.jpg,9.78
27530,27531.jpg,24.81
39192,39193.jpg,-3.93
37425,37426.jpg,6.15
39081,39082.jpg,-144.3
26800,26801.jpg,-4.84
31478,31479.jpg,-0.81
4889,4890.jpg,15.23
20008,20009.jpg,-3.43
26924,26925.jpg,-10.29
5314,5315.jpg,-21.18
24092,24093.jpg,-3.03
7224,7225.jpg,-0.2
21872,21873.jpg,7.36
14275,14276.jpg,-16.64
30564,30565.jpg,60.3
8862,8863.jpg,0.61
4963,4964.jpg,15.03
4872,4873.jpg,8.37
77,78.jpg,1.41
5964,5965.jpg,-16.84
19508,19509.jpg,7.36
39102,39103.jpg,-159.9
4481,4482.jpg,173.55
11908,11909.jpg,-15.83
23486,23487.jpg,-2.22
45016,45017.jpg,11.7
35061,35062.jpg,74.52
13675,13676.jpg,26.92
37428,37429.jpg,4.84
11482,11483.jpg,1.31
43497,43498.jpg,-3.83
8978,8979.jpg,1.31
29461,29462.jpg,-15.33
44240,44241.jpg,9.28
16602,16603.jpg,-13.92
16567,16568.jpg,-10.49
25839,25840.jpg,-72.71
1883,1884.jpg,0.0
4644,4645.jpg,4.44
38083,38084.jpg,-2.62
25657,25658.jpg,-42.45
35831,35832.jpg,-34.69
14078,14079.jpg,-1.01
30497,30498.jpg,49.71
16496,16497.jpg,-10.29
24880,24881.jpg,-7.66
30437,30438.jpg,59.6
16382,16383.jpg,3.13
44588,44589.jpg,9.78
35823,35824.jpg,-38.12
13836,13837.jpg,-3.13
29490,29491.jpg,-19.66
3924,3925.jpg,8.27
27281,27282.jpg,-3.93
37602,37603.jpg,2.32
7843,7844.jpg,16.94
637,638.jpg,-5.04
25127,25128.jpg,-6.76
37971,37972.jpg,-6.66
16453,16454.jpg,1.01
44501,44502.jpg,9.78
21367,21368.jpg,12.81
6172,6173.jpg,2.92
26622,26623.jpg,-82.59
30694,30695.jpg,9.88
4686,4687.jpg,11.9
12674,12675.jpg,1.51
26443,26444.jpg,14.82
19814,19815.jpg,-9.78
39717,39718.jpg,7.97
30638,30639.jpg,29.75
15984,15985.jpg,-10.18
515,516.jpg,-95.8
3711,3712.jpg,2.22
18477,18478.jpg,1.82
15983,15984.jpg,-10.18
18116,18117.jpg,13.31
38754,38755.jpg,8.27
18928,18929.jpg,-0.2
16108,16109.jpg,6.76
34007,34008.jpg,14.22
25484,25485.jpg,1.51
40119,40120.jpg,0.2
21807,21808.jpg,3.73
11503,11504.jpg,1.82
13106,13107.jpg,7.76
23513,23514.jpg,-10.79
15698,15699.jpg,-15.53
38580,38581.jpg,8.27
28666,28667.jpg,-1.21
30511,30512.jpg,51.23
34671,34672.jpg,-45.48
20031,20032.jpg,-26.72
42611,42612.jpg,16.03
4066,4067.jpg,15.13
12918,12919.jpg,6.86
22011,22012.jpg,-0.71
24451,24452.jpg,9.78
19138,19139.jpg,-16.64
78,79.jpg,0.0
22435,22436.jpg,-6.76
27043,27044.jpg,26.62
16412,16413.jpg,0.2
14645,14646.jpg,-99.23
44899,44900.jpg,9.98
38265,38266.jpg,-31.66
15051,15052.jpg,16.54
35899,35900.jpg,-6.05
3986,3987.jpg,13.71
3077,3078.jpg,4.44
21942,21943.jpg,0.71
22163,22164.jpg,-1.11
12132,12133.jpg,10.59
28888,28889.jpg,1.71
5940,5941.jpg,-16.64
41578,41579.jpg,-0.61
26939,26940.jpg,0.0
3742,3743.jpg,2.82
10497,10498.jpg,0.4
43509,43510.jpg,-0.3
32250,32251.jpg,46.69
34498,34499.jpg,71.29
3802,3803.jpg,2.32
12384,12385.jpg,28.24
26530,26531.jpg,-25.82
6336,6337.jpg,24.4
23127,23128.jpg,0.81
6541,6542.jpg,-0.5
16355,16356.jpg,1.82
16404,16405.jpg,1.01
16492,16493.jpg,-10.29
43,44.jpg,0.0
16078,16079.jpg,1.11
28971,28972.jpg,0.5
27548,27549.jpg,25.31
14987,14988.jpg,15.23
19397,19398.jpg,2.92
42732,42733.jpg,13.61
36682,36683.jpg,8.97
7303,7304.jpg,-3.73
38459,38460.jpg,14.52
812,813.jpg,-2.42
24519,24520.jpg,-82.49
41511,41512.jpg,-0.81
27754,27755.jpg,-37.82
5836,5837.jpg,-15.83
43999,44000.jpg,5.95
44019,44020.jpg,4.84
38299,38300.jpg,73.01
15773,15774.jpg,-16.64
12870,12871.jpg,7.87
11154,11155.jpg,2.72
33840,33841.jpg,3.83
14998,14999.jpg,18.35
2742,2743.jpg,-5.85
13861,13862.jpg,-4.13
12069,12070.jpg,3.03
746,747.jpg,-10.69
16776,16777.jpg,4.24
17079,17080.jpg,1.51
32540,32541.jpg,-27.43
261,262.jpg,119.9
6253,6254.jpg,0.0
17614,17615.jpg,2.22
13947,13948.jpg,-18.35
31499,31500.jpg,-2.82
2992,2993.jpg,2.02
13578,13579.jpg,28.84
28272,28273.jpg,38.02
15179,15180.jpg,-0.5
35368,35369.jpg,6.25
26169,26170.jpg,96.3
3973,3974.jpg,12.0
26636,26637.jpg,-69.68
31623,31624.jpg,3.23
42853,42854.jpg,1.31
7500,7501.jpg,0.1
14630,14631.jpg,-50.12
37541,37542.jpg,-0.2
19610,19611.jpg,15.93
20423,20424.jpg,5.75
43415,43416.jpg,2.32
33619,33620.jpg,-47.09
34507,34508.jpg,41.24
22302,22303.jpg,3.13
1977,1978.jpg,0.3
20854,20855.jpg,12.0
43785,43786.jpg,-7.97
31212,31213.jpg,0.71
21333,21334.jpg,0.5
17925,17926.jpg,4.94
589,590.jpg,-86.32
32479,32480.jpg,-27.83
6729,6730.jpg,1.51
12242,12243.jpg,28.84
32602,32603.jpg,-38.02
31104,31105.jpg,0.0
45246,45247.jpg,16.64
32748,32749.jpg,0.91
15865,15866.jpg,-7.26
36980,36981.jpg,-20.57
9601,9602.jpg,-9.78
10658,10659.jpg,0.0
591,592.jpg,-80.37
29719,29720.jpg,24.4
38679,38680.jpg,8.27
27427,27428.jpg,10.29
28772,28773.jpg,-9.88
40668,40669.jpg,3.53
37924,37925.jpg,-10.18
24716,24717.jpg,-9.58
2135,2136.jpg,0.1
26917,26918.jpg,-10.29
38769,38770.jpg,8.27
19402,19403.jpg,2.32
12777,12778.jpg,4.34
16859,16860.jpg,1.21
41120,41121.jpg,2.02
18726,18727.jpg,3.43
19504,19505.jpg,4.94
29699,29700.jpg,65.34
14547,14548.jpg,-5.65
30688,30689.jpg,7.66
19842,19843.jpg,-6.45
30483,30484.jpg,44.87
37162,37163.jpg,-77.85
19033,19034.jpg,-6.35
40879,40880.jpg,1.41
22889,22890.jpg,2.52
2287,2288.jpg,-0.5
18584,18585.jpg,10.79
15042,15043.jpg,16.54
34912,34913.jpg,14.92
5887,5888.jpg,-17.34
8301,8302.jpg,5.45
41084,41085.jpg,-2.12
16583,16584.jpg,-10.08
38075,38076.jpg,-0.4
19892,19893.jpg,-11.19
3169,3170.jpg,4.44
26281,26282.jpg,0.0
33640,33641.jpg,0.0
7762,7763.jpg,16.84
27536,27537.jpg,24.91
10089,10090.jpg,-0.4
18200,18201.jpg,1.71
45319,45320.jpg,17.75
12375,12376.jpg,26.52
20765,20766.jpg,2.12
11059,11060.jpg,3.53
27957,27958.jpg,6.45
31262,31263.jpg,-13.31
29689,29690.jpg,65.55
32822,32823.jpg,-4.03
29955,29956.jpg,-18.05
15722,15723.jpg,-16.54
38301,38302.jpg,70.79
14949,14950.jpg,18.45
12840,12841.jpg,7.87
32269,32270.jpg,30.25
22367,22368.jpg,-7.26
30337,30338.jpg,0.81
34083,34084.jpg,24.91
15205,15206.jpg,-0.1
18241,18242.jpg,7.76
36622,36623.jpg,26.52
32586,32587.jpg,-37.41
19249,19250.jpg,14.22
3334,3335.jpg,2.42
15187,15188.jpg,0.0
32964,32965.jpg,9.38
4864,4865.jpg,2.82
19336,19337.jpg,16.13
17162,17163.jpg,3.53
25147,25148.jpg,-6.45
11342,11343.jpg,0.71
990,991.jpg,175.36
30215,30216.jpg,-0.4
41800,41801.jpg,-0.3
9863,9864.jpg,-5.95
1502,1503.jpg,-2.82
7452,7453.jpg,-2.32
42797,42798.jpg,15.03
37287,37288.jpg,0.5
14328,14329.jpg,-16.64
42785,42786.jpg,19.97
23998,23999.jpg,2.92
40118,40119.jpg,0.2
9580,9581.jpg,-7.26
45153,45154.jpg,12.71
38349,38350.jpg,4.64
21928,21929.jpg,0.1
30096,30097.jpg,-45.78
5832,5833.jpg,-15.83
524,525.jpg,-102.25
43806,43807.jpg,-18.35
6494,6495.jpg,-1.82
41169,41170.jpg,3.53
42516,42517.jpg,0.71
31547,31548.jpg,50.62
41838,41839.jpg,2.22
28515,28516.jpg,-19.76
38564,38565.jpg,8.27
33547,33548.jpg,3.33
5161,5162.jpg,1.31
11665,11666.jpg,-17.04
36014,36015.jpg,-0.4
11647,11648.jpg,-17.14
23549,23550.jpg,-13.71
39167,39168.jpg,-27.13
5946,5947.jpg,-16.54
25487,25488.jpg,1.51
38003,38004.jpg,2.12
28478,28479.jpg,-19.66
35334,35335.jpg,-0.71
2620,2621.jpg,-6.86
14252,14253.jpg,-13.71
16410,16411.jpg,0.2
44901,44902.jpg,10.08
17460,17461.jpg,0.5
5718,5719.jpg,-15.23
12782,12783.jpg,4.34
11910,11911.jpg,-15.73
3400,3401.jpg,2.42
40198,40199.jpg,-0.1
13428,13429.jpg,7.16
18096,18097.jpg,7.26
39695,39696.jpg,9.98
39308,39309.jpg,-1.41
21166,21167.jpg,-3.73
17454,17455.jpg,1.21
28276,28277.jpg,37.31
20335,20336.jpg,-9.38
317,318.jpg,49.11
1927,1928.jpg,0.2
3945,3946.jpg,4.34
26753,26754.jpg,-11.09
8925,8926.jpg,-1.31
22473,22474.jpg,-8.27
11022,11023.jpg,1.01
22566,22567.jpg,-3.93
43799,43800.jpg,-16.34
22497,22498.jpg,-7.87
28856,28857.jpg,1.41
18680,18681.jpg,9.48
21160,21161.jpg,-3.03
14033,14034.jpg,-24.3
37827,37828.jpg,-8.77
8913,8914.jpg,-0.61
19145,19146.jpg,-14.12
14839,14840.jpg,15.63
45131,45132.jpg,2.22
33574,33575.jpg,2.62
31592,31593.jpg,31.06
43063,43064.jpg,-4.13
33050,33051.jpg,13.82
13494,13495.jpg,13.92
11339,11340.jpg,0.71
30086,30087.jpg,0.0
32758,32759.jpg,-6.76
37854,37855.jpg,-9.28
